from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5885487;5976964;326;22803;80;72;27323;79;71;27326;39;29026;34;29026
5885488;5976964;330;23077;78;68;27307;79;73;27966;39;28753;34;28753
5885489;5976964;330;23072;75;72;27828;80;70;27832;38;28002;33;28002
5885490;5976964;333;23331;79;71;28016;81;73;28091;39;28497;33;28497
5885491;5976964;336;23513;75;68;26356;78;74;26457;37;28186;32;28186
5885492;5976964;344;24063;75;69;28357;77;66;28342;38;28554;32;28554
5885493;5976964;346;24186;72;67;28163;76;64;28148;39;28889;33;28889
5885494;5976964;348;24369;72;65;28048;73;69;28046;39;29170;34;29170
5885495;5976964;348;24344;71;62;27822;72;59;27807;40;29575;35;29575
5885496;5976964;351;24583;73;65;28012;75;62;27996;41;30223;35;30223
5885497;5976964;353;24680;73;65;28036;75;62;28021;41;30150;35;30150
5885498;5976964;356;24934;73;65;28012;75;62;27997;40;30397;35;30397
5885499;5976964;359;25149;73;66;27980;77;66;28318;43;30714;37;30714
5885500;5976964;362;25359;73;64;27877;78;68;27874;45;32671;39;32671
5885501;5976964;368;25729;69;58;27410;78;62;27407;43;32385;37;32385
5885502;5976964;370;25914;75;61;27664;78;65;27661;45;32230;39;32230
5885503;5976964;374;26171;73;61;27228;78;62;27225;43;31944;37;31944
5885504;5976964;377;26400;72;60;27663;77;61;27660;42;31961;36;31961
5885505;5976964;387;27073;78;64;27930;78;65;27926;44;32238;38;32238
5885506;5976964;386;26988;76;66;28023;80;67;28020;44;32637;38;32617
5885507;5976964;387;27075;79;68;28731;79;65;28730;46;32784;40;32763
5885508;5976964;395;27658;77;66;27880;78;62;27880;45;32811;39;32811
5885509;5976964;395;27660;76;66;28553;78;62;28554;44;32857;38;32857
5885510;5976964;404;28294;73;67;28587;80;71;28711;48;33768;41;33768
5885511;5976964;403;28202;71;65;28441;76;69;28564;50;33776;43;33776
5885512;5976964;407;28473;73;66;29202;79;70;29326;51;34232;44;34232
5885513;5976964;407;28466;68;62;28881;74;66;29005;49;34225;42;34225
5885514;5976964;409;28640;75;67;29263;80;71;29387;50;34659;43;34659
5885515;5976964;412;28871;79;73;29612;81;75;29612;52;34856;45;34856
5885516;5976964;425;29752;85;75;33693;90;74;30966;52;36280;45;36713
5885517;5976964;432;30234;96;83;31793;101;86;31803;50;35875;43;36309
5885518;5976964;431;30200;96;82;32137;102;85;32147;52;36343;46;36777
5885519;5976964;450;31476;104;90;32656;102;93;32666;53;36650;47;37083
5885520;5976964;451;31558;104;91;32739;102;94;32748;54;37108;47;37541
5885521;5976964;456;31912;112;98;34884;104;99;33102;52;37210;45;37643
5885522;5976964;450;31514;106;82;33125;103;94;35008;53;37499;46;37932
5885523;5976964;452;31659;109;84;33269;102;96;35153;54;37698;47;38131
5885524;5976964;457;32004;117;87;34603;105;99;36486;54;37989;47;38422
5885525;5976964;460;32224;110;83;34348;102;95;36231;54;38213;47;38646
5885526;5976964;464;32493;110;80;34164;102;92;36048;56;38549;49;38982
5885527;5976964;470;32886;112;81;34234;102;93;36118;59;39171;52;39604
5885528;5976964;473;33076;114;84;34424;102;96;36308;51;38908;45;38908
5885529;5976964;498;34827;102;82;34096;96;81;33932;48;38762;41;38762
5885531;5976964;498;34847;108;90;34688;96;89;34524;49;38747;43;38747
5885532;5976964;499;34897;109;91;34738;96;90;34574;52;38996;46;38996
5885533;5976964;501;35103;112;91;34949;100;93;34780;55;39179;48;39179
5885534;5976964;504;35267;124;115;36634;-1;-1;-1;54;38817;48;38817
5885535;5976964;503;35194;124;114;36562;-1;-1;-1;56;39080;50;39080
5885536;5976964;502;35158;124;114;36525;-1;-1;-1;55;39021;49;39021
5885537;5976964;506;35445;127;115;34876;-1;-1;-1;57;41677;50;41677
5885538;5976964;514;35984;117;95;36058;108;97;41061;54;41464;47;41464
5885539;5976964;509;35626;111;95;35898;108;94;40902;55;41748;48;41748
5885540;5976964;511;35780;117;94;36015;108;96;41018;57;41762;50;41762
5885541;5976964;513;35904;123;101;36522;106;103;41526;60;42808;52;42808
5885542;5976964;527;36885;128;103;37870;-1;-1;-1;57;42756;50;42756
5887225;5976964;303;21186;84;70;25296;79;67;26564;41;24417;36;24417
5887226;5976964;298;20842;81;68;24235;79;66;22572;39;23991;34;23991
5887227;5976964;293;20542;79;63;23935;76;61;22272;38;23716;34;23716
5887228;5976964;289;20208;74;59;23601;74;57;21937;37;23378;32;23378
5887229;5976964;287;20077;78;60;23688;74;58;22024;37;23378;33;23378
5887230;5976964;283;19815;79;64;23967;76;62;22303;37;22965;33;22965
5887231;5976964;285;19983;81;66;23508;77;64;21844;36;22983;32;22983
5887232;5976964;284;19869;79;64;23394;77;62;21730;38;23509;34;23198
5887233;5976964;275;19277;83;70;23833;82;68;22170;35;22721;31;22721
5887234;5976964;272;19042;84;72;23934;85;70;22271;36;22584;32;22584
5887235;5976964;273;19102;89;74;22695;91;72;21031;35;22695;32;22695
5887236;5976964;281;19649;94;82;23242;97;80;21579;38;23233;34;23233
5887237;5976964;260;18211;97;87;22049;101;85;20385;37;23715;32;23715
5887238;5976964;257;18002;95;84;21839;98;82;20176;37;23496;33;23496
5887239;5976964;262;18308;99;88;22145;101;86;20482;39;23834;35;23834
5887240;5976964;267;18668;104;93;22506;102;91;20842;39;24147;35;24147
5887241;5976964;269;18828;104;96;22666;102;94;21002;42;24647;38;24647
5887242;5976964;271;18996;93;68;20695;91;65;20695;42;24349;37;24349
5887243;5976964;269;18798;89;65;20497;88;62;20497;42;24329;37;24329
5887244;5976964;259;18132;84;63;20326;88;60;20326;40;24083;35;24083
5887245;5976964;255;17816;84;61;20162;91;58;20162;40;23394;36;23394
5887246;5976964;258;18056;89;64;20421;88;61;20421;43;23429;39;23429
5887247;5976964;-1;-1;-1;-1;-1;-1;-1;-1;46;23438;42;23438
5887248;5976964;267;18674;109;87;19718;102;94;19921;47;23267;43;23267
5887249;5976964;266;18619;107;86;19663;102;94;19866;45;23293;41;23293
5887250;5976964;258;18077;98;78;19121;100;86;19324;46;23956;42;23956
5887251;5976964;254;17777;98;74;18821;99;82;19024;47;24025;42;24025
5887252;5976964;256;17900;98;76;18944;100;83;19147;46;24134;42;24134
5887253;5976964;252;17607;93;72;18651;99;79;18854;47;22189;42;22189
5887254;5976964;246;17242;89;66;18286;93;74;18489;49;23430;44;23430
5887255;5976964;250;17477;93;70;18521;99;77;18724;42;21434;38;21434
5887256;5976964;242;16971;82;66;18126;80;59;18126;41;21637;36;21637
5887257;5976964;239;16730;78;63;17885;74;56;17885;39;21411;34;21411
5887258;5976964;239;16758;78;59;17628;74;52;17628;39;21253;34;21253
5887259;5976964;239;16698;78;56;17421;71;49;17421;39;23528;34;23528
5887260;5976964;241;16850;78;58;17572;74;51;17572;38;23066;33;23066
5887261;5976964;244;17090;78;56;17908;71;49;17908;37;22793;33;22793
5887262;5976964;245;17164;78;57;18017;74;50;18017;36;22506;32;22506
5887263;5976964;240;16828;78;61;18242;74;53;18938;35;22271;31;22271
5887264;5976964;237;16600;82;64;18479;74;50;18710;35;22002;31;22002
