seutukunta,seutukunta_nimi,tyollisyys
SK011,Helsingin seutukunta,73
SK014,Raaseporin seutukunta,70.3
SK015,Porvoon seutukunta,74.3
SK016,Loviisan seutukunta,71.5
SK021,Åboland-Turunmaan seutukunta,72.9
SK022,Salon seutukunta,65.5
SK023,Turun seutukunta,68.4
SK024,Vakka-Suomen seutukunta,71.2
SK025,Loimaan seutukunta,71.4
SK041,Rauman seutukunta,70.7
SK043,Porin seutukunta,67.3
SK044,Pohjois-Satakunnan seutukunta,66.4
SK051,Hämeenlinnan seutukunta,70.9
SK052,Riihimäen seutukunta,71.8
SK053,Forssan seutukunta,67.5
SK061,Luoteis-Pirkanmaan seutukunta,65.3
SK063,Etelä-Pirkanmaan seutukunta,67.3
SK064,Tampereen seutukunta,67.5
SK068,Lounais-Pirkanmaan seutukunta,68.9
SK069,Ylä-Pirkanmaan seutukunta,64.1
SK071,Lahden seutukunta,66
SK081,Kouvolan seutukunta,65.3
SK082,Kotkan-Haminan seutukunta,63
SK091,Lappeenrannan seutukunta,67.1
SK093,Imatran seutukunta,63.5
SK101,Mikkelin seutukunta,66.4
SK103,Savonlinnan seutukunta,63.1
SK105,Pieksämäen seutukunta,64.8
SK111,Ylä-Savon seutukunta,63.7
SK112,Kuopion seutukunta,67.6
SK113,Koillis-Savon seutukunta,58.8
SK114,Varkauden seutukunta,61
SK115,Sisä-Savon seutukunta,63.5
SK122,Joensuun seutukunta,62.7
SK124,Keski-Karjalan seutukunta,59.4
SK125,Pielisen Karjalan seutukunta,57.7
SK131,Jyväskylän seutukunta,64.7
SK132,Joutsan seutukunta,64.1
SK133,Keuruun seutukunta,63.3
SK134,Jämsän seutukunta,64.4
SK135,Äänekosken seutukunta,60.2
SK138,Saarijärven-Viitasaaren seutukunta,61.1
SK141,Suupohjan seutukunta,67.4
SK142,Seinäjoen seutukunta,71.1
SK144,Kuusiokuntien seutukunta,68.4
SK146,Järviseudun seutukunta,65.8
SK151,Kyrönmaan seutukunta,74
SK152,Vaasan seutukunta,73.7
SK153,Sydösterbottenin seutukunta,74.6
SK154,Jakobstadsregionen,76.2
SK161,Kaustisen seutukunta,71.8
SK162,Kokkolan seutukunta,70.3
SK171,Oulun seutukunta,65.5
SK173,Oulunkaaren seutukunta,60
SK174,Raahen seutukunta,63.9
SK175,Haapaveden-Siikalatvan seutukunta,65.8
SK176,Nivala-Haapajärven seutukunta,65.7
SK177,Ylivieskan seutukunta,67.9
SK178,Koillismaan seutukunta,61.6
SK181,Kehys-Kainuun seutukunta,56.3
SK182,Kajaanin seutukunta,63.1
SK191,Rovaniemen seutukunta,64.5
SK192,Kemi-Tornion seutukunta,60.4
SK193,Torniolaakson seutukunta,60.6
SK194,Itä-Lapin seutukunta,56.5
SK196,Tunturi-Lapin seutukunta,67.3
SK197,Pohjois-Lapin seutukunta,65.2
SK211,Mariehamns stads ekonomiska region,76.6
SK212,Ålands landsbygd,81
SK213,Ålands skärgård,77.2
